id,longitude,latitude,seg_bits,scale_id,scale,cap_spring,cap_summer,cap_autumn,cap_winter,build_cost_usd,op_cost_usd_for_4seasons,is_active_solve
1111,113.44569050001668,22.796514899942736,000,0,NONE,0,0,0,0,0,0.0,1
1112,113.44445589991994,22.79177969957351,001,3,L,23808,23040,23808,23040,269976,6316.591780821918,1
1113,113.44483900031967,22.792006100301364,000,0,NONE,0,0,0,0,0,0.0,1
1114,113.44521980025364,22.792216399567224,000,0,NONE,0,0,0,0,0,0.0,0
1115,113.44582809988697,22.79652329961061,010,2,M,15872,15360,15872,15360,179984,4211.172602739726,1
1116,113.49943709984234,22.79458690006544,000,0,NONE,0,0,0,0,0,0.0,1
1117,113.4999876000478,22.794048100039845,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1118,113.49592659983271,22.796556099684324,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1119,113.49443499957567,22.79768670038095,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1120,113.48422499998378,22.801618899692528,010,2,M,15872,15360,15872,15360,179984,4211.172602739726,1
1121,113.43710909980518,22.84251849972901,000,0,NONE,0,0,0,0,0,0.0,0
1122,113.43572650007798,22.843706499655298,000,0,NONE,0,0,0,0,0,0.0,1
1123,113.34514259995105,22.86344849994839,010,2,M,15872,15360,15872,15360,179984,4211.172602739726,1
1124,113.34514000001104,22.863537899754306,000,0,NONE,0,0,0,0,0,0.0,0
1125,113.34446210004592,22.863678899961315,000,0,NONE,0,0,0,0,0,0.0,1
1126,113.34376160011776,22.8637321002563,000,0,NONE,0,0,0,0,0,0.0,1
1127,113.34324690012444,22.865553900092493,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1128,113.34329560021185,22.86567760004124,000,0,NONE,0,0,0,0,0,0.0,0
1129,113.31274289996496,22.868130400197856,000,0,NONE,0,0,0,0,0,0.0,1
1130,113.31342869957484,22.86836969990179,010,2,M,15872,15360,15872,15360,179984,4211.172602739726,1
1131,113.30443339988152,22.8694817997453,000,0,NONE,0,0,0,0,0,0.0,1
1132,113.30422440013604,22.871708700096463,000,0,NONE,0,0,0,0,0,0.0,0
1133,113.30360069961262,22.872906499935084,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1134,113.4400433996832,22.8409520003346,001,3,L,23808,23040,23808,23040,269976,6316.591780821918,1
1135,113.4870494998346,22.852978300408267,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1136,113.48724919969084,22.853387099834837,000,0,NONE,0,0,0,0,0,0.0,1
1137,113.48879589961108,22.84990110005577,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1138,113.4395958997311,22.85297800003474,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1139,113.43592619993422,22.85733710032696,000,0,NONE,0,0,0,0,0,0.0,1
1140,113.43594009985576,22.857472899754555,000,0,NONE,0,0,0,0,0,0.0,1
1141,113.42311939984052,22.857925999785092,000,0,NONE,0,0,0,0,0,0.0,1
1142,113.42317910043516,22.858255600415703,000,0,NONE,0,0,0,0,0,0.0,0
1143,113.42449669986286,22.86154090029237,000,0,NONE,0,0,0,0,0,0.0,1
1144,113.42460590004237,22.861626600287423,010,2,M,15872,15360,15872,15360,179984,4211.172602739726,1
1145,113.48642359956956,22.86451830017944,000,0,NONE,0,0,0,0,0,0.0,1
1146,113.48589150039254,22.865706599579937,000,0,NONE,0,0,0,0,0,0.0,0
1147,113.47302139971794,22.869394599681076,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1148,113.47389259996362,22.869809299559563,000,0,NONE,0,0,0,0,0,0.0,0
1149,113.4784878999966,22.87085699985073,000,0,NONE,0,0,0,0,0,0.0,0
