id,longitude,latitude,seg_bits,scale_id,scale,cap_2020,cap_2025,cap_2030,cap_2035,cap_2040,build_cost_usd,op_cost_usd_for_total_duration,is_active_solve
3955,-93.3089794991,44.2969370158,000,0,NONE,0,0,0,0,0,0,0.0,1
3956,-104.935874722,44.2652560846,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
3957,-88.353401723,44.2979441108,000,0,NONE,0,0,0,0,0,0,0.0,0
3958,-89.5232400609,44.3020579543,000,0,NONE,0,0,0,0,0,0,0.0,1
3959,-84.5130316676,44.3156633991,000,0,NONE,0,0,0,0,0,0,0.0,0
3960,-71.8308229315,44.3190090966,000,0,NONE,0,0,0,0,0,0,0.0,0
3961,-123.061115777,44.326832845,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
3962,-104.55448285,44.3325948004,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
3963,-72.7621811419,44.3448477341,000,0,NONE,0,0,0,0,0,0,0.0,0
3964,-75.9834237122,44.3473811037,000,0,NONE,0,0,0,0,0,0,0.0,0
3965,-93.9514377067,44.3494330967,000,0,NONE,0,0,0,0,0,0,0.0,1
3966,-88.1916111958,44.3513689233,000,0,NONE,0,0,0,0,0,0,0.0,0
3967,-84.8079992452,44.3681489066,000,0,NONE,0,0,0,0,0,0,0.0,0
3968,-112.185864987,44.3689342369,000,0,NONE,0,0,0,0,0,0,0.0,1
3969,-106.688993742,44.3714560996,000,0,NONE,0,0,0,0,0,0,0.0,1
3970,-103.501778717,44.3944240832,001,3,L,696864,694960,694960,694960,696864,3200000,450493.15068493155,1
3971,-72.0177717097,44.3965300724,000,0,NONE,0,0,0,0,0,0,0.0,0
3972,-73.0971507395,44.4376870971,000,0,NONE,0,0,0,0,0,0,0.0,0
3973,-87.9575097253,44.4506021009,000,0,NONE,0,0,0,0,0,0,0.0,1
3974,-73.2164277478,44.4473621008,000,0,NONE,0,0,0,0,0,0,0.0,0
3975,-73.1822547332,44.4523750703,000,0,NONE,0,0,0,0,0,0,0.0,0
3976,-117.336013785,44.4636215106,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
3977,-73.4862538918,44.4701957922,000,0,NONE,0,0,0,0,0,0,0.0,0
3978,-73.2176517108,44.4723730779,000,0,NONE,0,0,0,0,0,0,0.0,0
3979,-88.0809087196,44.4847390761,000,0,NONE,0,0,0,0,0,0,0.0,0
3980,-96.7572483566,44.4901962577,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
3981,-91.1229587569,44.4952799687,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
3982,-104.223519664,44.5010778125,000,0,NONE,0,0,0,0,0,0,0.0,1
3983,-103.857873757,44.5067059155,001,3,L,696864,694960,694960,694960,696864,3200000,450493.15068493155,1
3984,-93.2911729469,44.5174090872,000,0,NONE,0,0,0,0,0,0,0.0,1
3985,-69.6996548573,44.5189484693,000,0,NONE,0,0,0,0,0,0,0.0,0
3986,-92.9234587782,44.5192243516,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
3987,-73.2549747304,44.5246270981,000,0,NONE,0,0,0,0,0,0,0.0,0
3988,-73.1935407167,44.5251221083,000,0,NONE,0,0,0,0,0,0,0.0,0
3989,-106.807965893,44.5402276412,000,0,NONE,0,0,0,0,0,0,0.0,1
3990,-88.0503447229,44.5642900934,000,0,NONE,0,0,0,0,0,0,0.0,1
